method,stage,scope,eval_scope,steps,role,class,hota,hota_mean,mota,idf1,gt_dets,pred_dets
S0-repaired,S0,full,pilot,600,seen,car,0.353572292,0.252145991,-1.358633333,0.241925306,30000,73007
B1,S1,full,pilot,300,old,car,0.160476638,0.126087856,-6.414633333,0.063692245,30000,228179
B1,S1,full,pilot,300,new,pedestrian,0.124656573,0.097877171,0.008847255,0.100064419,3843,814
B1,S1,full,pilot,300,all_seen,all,0.159927010,0.125669415,-5.685222941,0.064336697,33843,228993
O1,S1,full,pilot,300,old,car,0.162738728,0.126961026,-6.013366667,0.066130211,30000,214941
O1,S1,full,pilot,300,new,pedestrian,0.149253976,0.117587237,0.037991153,0.126133909,3843,787
O1,S1,full,pilot,300,all_seen,all,0.162504302,0.126816155,-5.326212215,0.067243390,33843,215728
O2,S1,full,pilot,300,old,car,0.158807060,0.122150655,-6.088033333,0.063022404,30000,217055
O2,S1,full,pilot,300,new,pedestrian,0.127539891,0.101509955,0.028883685,0.108240535,3843,647
O2,S1,full,pilot,300,all_seen,all,0.158304870,0.121831066,-5.393434388,0.063829533,33843,217702
B1,S2,full,pilot,300,old,car,0.174063199,0.134832358,-6.512966667,0.075531538,30000,229812
B1,S2,full,pilot,300,old,pedestrian,0.011702196,0.009262736,0.000260213,0.004663212,3843,17
B1,S2,full,pilot,300,new,truck,0.000000000,0.000000000,-0.000871080,0.000000000,1148,1
B1,S2,full,pilot,300,all_seen,all,0.172217674,0.133452542,-5.583978737,0.074170855,34991,229830
O2,S2,full,pilot,300,old,car,0.187803152,0.143135060,-6.173966667,0.084680208,30000,218724
O2,S2,full,pilot,300,old,pedestrian,0.011817546,0.009166469,-0.000520427,0.004144004,3843,18
O2,S2,full,pilot,300,new,truck,0.000000000,0.000000000,-0.000871080,0.000000000,1148,1
O2,S2,full,pilot,300,all_seen,all,0.185716814,0.141602201,-5.293418308,0.083071248,34991,218743
