stage,method,protocol_role,execution_status,evaluation_scope,optimizer_steps,observed_optimizer_steps,zero_step,vocabulary_role,new_class_recall_at_hota_005,old_HOTA_mean,old_IDF1,old_MOTA,new_HOTA_mean,new_IDF1,new_MOTA,all_seen_HOTA_mean,all_seen_IDF1,all_seen_MOTA,valid_kd_objects,checkpoint_sha256,parent_checkpoint_sha256,teacher_checkpoint_sha256,current_view_sha256,replay_view_sha256,pl_manifest_sha256,raw_prediction_sha256,raw_metrics_sha256,reason
J3,J3-diagnostic,diagnostic_joint,COMPLETE,pilot,1200,,False,NOT_RUN,0.15306666666666666,NOT_RUN,NOT_RUN,NOT_RUN,0.17924698130362635,0.16631369361000797,0.03185510494215013,0.17924698130362635,0.16631369361000797,0.03185510494215013,0.0,27cdc422db55a420c30aef917c55e7927b8925a9260b4c692ccaf872db2f52c8,0862cac87ad50f58a01ce17d4e44af0468ad8639cfccd18d66d2e9b2570d839e,,24ee48fce9e573606b18fb4f7d83677384d0f648c9a84078203c1548a53a969d,,,bd2d2227ef5a61a1f80e285c7c8a53399429cb1b586b0cfa130b3a328f138657,580e1de994f90d2c99cabcff123b3fc7e18199368b776fd10234cceac0d65357,
S1,R-ER-S1,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.10252406973718449,0.21957791227513743,0.19130784477063167,0.09326666666666666,0.15536558304770637,0.14879136352968786,0.08248763986468904,0.18747174766142188,0.17004960415015977,0.08787715326567785,0.0,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,a4eb8e9f038729f348af85bd84f17d54dd6329a5c019818ba80d8e61dd2ae6ff,16994c154090bc5221f76b4a9b096ec0e3f10b00ac53bf2f97e268128f73c12f,,678be5f96d4ddfb5127031eb88b167ff9b4cd91cf274a6cb71731dbffe6de6d3,89dba687d9dbe494f0df55ac5227c35888a8fe91c80d888439daea6c830e445d,
S2,R-ER-S2,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.09146341463414634,0.2022135467228091,0.2022597335890095,0.09616528753577934,0.08443652002761254,0.0969254820218864,-0.509581881533101,0.16295453782441024,0.1671483163999685,-0.10575043548718077,0.0,4c72c69fb6ac3a79e0d98a79a875143611c0006d7df445fc7e65b7628c1dbe08,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,,c9f149bee1f74ffaf678ee0d7775b24f6e85dfa9f926733ef84eac2f08aadd69,7f8e323dd4b3265778ac15b1b68d1177d7a5c96db586a2bdcfd0b80b51a6d707,,7089c553697738a625b089148135cb7e872698e2ee35ed9d22ca94741045e26c,55dd046c3ef26e47135a2a2980825214bbaf5d68f8c55838a3d1db93c932556b,
S1,R-QPL-KD-S1,cil,SKIPPED_EQUIVALENT,pilot,0,600,False,NOT_RUN,0.1160551652354931,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,0.0,2d52d2a3ac9274da9de033495e9d9b953b50e774cbaa1f0ba4ff7d0ee0e6d4da,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,6999b3fa468cdcae8eec20584e008642e4b4527fbac3292cadf4a4285d68ff91,16994c154090bc5221f76b4a9b096ec0e3f10b00ac53bf2f97e268128f73c12f,77d2208b82ab04e0b04cdef777d7bf01cf5c05aa43bfc1f3bee6d19f9d546776,NOT_RUN,NOT_RUN,runtime KD audit found zero valid replay-aligned objects; no independent KD result is counted
S2,R-QPL-KD-S2,cil,SKIPPED_EQUIVALENT,pilot,0,,False,NOT_RUN,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,NOT_RUN,NOT_RUN,S1 KD had zero valid replay-aligned objects; S2 KD branch is equivalent to its QPL parent and is not retrained
S1,R-QPL-S1,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.13817330210772832,0.23118210675086412,0.18201329478045727,0.09743333333333333,0.17558483168455838,0.17018379850238258,0.10590684361176164,0.20338346921771125,0.17609854664141994,0.10167008847254749,0.0,80d384ab3490a2d639f55abe63a4e0c280a7640035160ff05bd313b5580f6e8a,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,6999b3fa468cdcae8eec20584e008642e4b4527fbac3292cadf4a4285d68ff91,16994c154090bc5221f76b4a9b096ec0e3f10b00ac53bf2f97e268128f73c12f,77d2208b82ab04e0b04cdef777d7bf01cf5c05aa43bfc1f3bee6d19f9d546776,b819a0f83546f119b5c039cb335737cc9ca04322f7f3b57f9fa4d5a0ecd15d6b,a04c41606ace64a365e58c080c6b7cb4401ea1a17317861f780e402c0a4882fc,
S0,S0-v3,cil,COMPLETE,pilot,1200,,False,NOT_RUN,0.1132,NOT_RUN,NOT_RUN,NOT_RUN,0.20643950944583764,0.17007779772591264,0.0993,0.20643950944583764,0.17007779772591264,0.0993,0.0,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,0862cac87ad50f58a01ce17d4e44af0468ad8639cfccd18d66d2e9b2570d839e,,99fa98443d73a4c557c2acb13cac962d4edf2d2122b5dada0bb9702a569c8d8c,,,b83cc229ec2d76be5bddeba3e6a433d6eff8ae940388dbb2e9c0fc30c9557884,946fa30437e8fa6763ee0362bfff8d950f1972eee5bc91d7169ce3d98845c417,
,asset_check,,COMPLETE,asset_diagnosis,0,,False,NOT_RUN,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,eeae78c774ae1358827ec39fc35895002f05312312114e40be3900e6bedb1e65,,
S1,zero_S1_S0-v3_expanded_vocabulary,cil,COMPLETE,pilot,0,,True,expanded,,0.2081545423051836,0.18211716341212744,0.1088,0.03875197303253105,0.03202033036848793,0.015092375748113453,0.12345325766885733,0.10706874689030768,0.06194618787405672,NOT_RUN,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,,,,082e925000a317699b7be30c60a1d7201f5c0766441b7abcc7ea74fc63515e20,948fa754801858ac6b23dac5d03b9992e536442a25a4aca54e39eedf3da60e09,
S1,zero_S1_S0-v3_previous_vocabulary,cil,COMPLETE,pilot,0,,True,previous,,0.20643950944583764,0.17007779772591264,0.0993,NOT_RUN,NOT_RUN,NOT_RUN,0.20643950944583764,0.17007779772591264,0.0993,NOT_RUN,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,,,,bff6e8e4b74d6439835f6eef1af5fc613f4edab0c643bb586797719d019194c0,c800dd34e2f0b767d5e5e63b955fe11a973aecc6ed6dfa0a488f16d12d1011b5,
S2,zero_S2_R-ER-S1_expanded_vocabulary,cil,COMPLETE,pilot,0,,True,expanded,,0.18825065887493947,0.17525957333582465,0.08863251366120219,0.008639108948986849,0.003472222222222222,0.0008710801393728223,0.12838014223295527,0.11799712296462384,0.059378702487259065,NOT_RUN,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,,,,,f7f90c690e4ee7fc5ad96b8092f4bd1fc5b6f27536eaedf2f10fc2208a9b8cb3,2e37b1193b17cf08cfb467b5c59e1fdb5bc8b4f84a0ffb7aa0ddc581197b6f34,
S2,zero_S2_R-ER-S1_previous_vocabulary,cil,COMPLETE,pilot,0,,True,previous,,0.18747174766142188,0.17004960415015977,0.08787715326567785,NOT_RUN,NOT_RUN,NOT_RUN,0.18747174766142188,0.17004960415015977,0.08787715326567785,NOT_RUN,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,bc81b2b3b65eb7a7ffdbcc4fc20be0952fc37a4792aba799cff9b36a1d69b28d,,,,,2353ec4c3111655df8ac936b0089a452ca95e605d2ebf47d1a4423c4f4042cd9,09b20c00f409994f22ac552a333285c2c1068edf474b9a737a3419496a34d26e,
S2,zero_S2_R-QPL-KD-S1_expanded_vocabulary,cil,NOT_RUN,pilot,0,,True,expanded,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,NOT_RUN,NOT_RUN,parent S1 checkpoint was not complete
S2,zero_S2_R-QPL-KD-S1_previous_vocabulary,cil,NOT_RUN,pilot,0,,True,previous,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,NOT_RUN,NOT_RUN,parent S1 checkpoint was not complete
