stage,method,protocol_role,execution_status,evaluation_scope,optimizer_steps,observed_optimizer_steps,zero_step,vocabulary_role,new_class_recall_at_hota_005,old_HOTA_mean,old_IDF1,old_MOTA,new_HOTA_mean,new_IDF1,new_MOTA,all_seen_HOTA_mean,all_seen_IDF1,all_seen_MOTA,valid_kd_objects,kd_replay_batches_seen,kd_replay_gt_objects,kd_student_iou_pass,kd_teacher_iou_pass,kd_joint_alignment_pass,kd_shared_old_class_objects,kd_teacher_score_pass,kd_cells,checkpoint_sha256,parent_checkpoint_sha256,teacher_checkpoint_sha256,current_view_sha256,replay_view_sha256,pl_manifest_sha256,raw_prediction_sha256,raw_metrics_sha256,reason
S1,R-QPLSEG-KD-S1,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.166016133229248,0.23334336751651436,0.1761417697431018,0.0949,0.21007157674513158,0.2143323894576345,0.1092896174863388,0.22170747213082298,0.19523707960036815,0.1020948087431694,1476.0,300,8550.0,8140.0,8063.0,7953.0,7953.0,1476.0,1476.0,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,4daf00f4f34773bed8891057f72640f83fd95225ab258ec0da52a93f4d14e069,16994c154090bc5221f76b4a9b096ec0e3f10b00ac53bf2f97e268128f73c12f,6208dbd2aabcec502d64e7c00230742818cdef7d649cced5a67c79ad2b0e9ebc,be7887d115e458367cbb3b549912efdff9503d3aaa172065ce3228e1d94d065d,2fe1906d47fc10003f3b1aa44b3381ed0ba8b9aab0b12477552c45f4a21ad56e,
S2,R-QPLSEG-KD-S2,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.2848432055749129,0.20128784274391204,0.1929306965092597,0.09207446005724694,0.2754573232805423,0.33225458468176916,-0.078397212543554,0.22601100292278878,0.23937199256676286,0.035250569190313295,980.0,300,6295.0,5944.0,5797.0,5717.0,5717.0,980.0,1960.0,8d85cf6f238229127fd12930e7c4c14f0335c8c7f26db4be1a18d8f8aaa638a7,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,e594856639d5ef696680ce33645aa488e2377cd167221d1398a1515ca3856f7c,7f8e323dd4b3265778ac15b1b68d1177d7a5c96db586a2bdcfd0b80b51a6d707,e4bac5c7595f5e78d3a9b9444e3fdbf03488ba7611de62c0bda48a6c1c63bddc,e91e88ee2420502fdc85415279f311d67711cd206138fb4a0a69296f0517c5ea,b89b96a44915272f790aec14bb35d1eeedf35e308fe6abda350488061f96ec32,
S2,R-QPLSEG-PF-S2,cil,NOT_RUN_CONDITION_NOT_MET,pilot,0,,False,NOT_RUN,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,NOT_RUN,NOT_RUN,stability/plasticity conditions were not both met
S1,R-QPLSEG-S1,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.15690866510538642,0.22532282379240468,0.17949097804509495,0.09663333333333333,0.20363836217164855,0.20983028432885167,0.10798855061150144,0.2144805929820266,0.1946606311869733,0.10231094197241739,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,e5157b270878bab010954c7642f8eb3cb5562e80b3a3e9073748e52237a216e1,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,4daf00f4f34773bed8891057f72640f83fd95225ab258ec0da52a93f4d14e069,16994c154090bc5221f76b4a9b096ec0e3f10b00ac53bf2f97e268128f73c12f,6208dbd2aabcec502d64e7c00230742818cdef7d649cced5a67c79ad2b0e9ebc,b856893eda3debd74b4d4f19c68f41325f8d5e4c7f9e7ea049a952a8c039dc6b,6364b461793f44df017a2c291fe72234e724add9770d9b1a33b252a61822c05a,
S2,R-QPLSEG-S2,cil,COMPLETE,pilot,600,,False,NOT_RUN,0.17682926829268292,0.21170157954825902,0.19873075797333162,0.10953992974238876,0.21589346121350422,0.25476034143138543,0.01132404181184669,0.2130988734366741,0.2174072857926829,0.07680130043220806,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,470f0e17096fda5bf43445bf39a8015e2333907f2d321de5a0833ce90d51e6c2,e5157b270878bab010954c7642f8eb3cb5562e80b3a3e9073748e52237a216e1,,e594856639d5ef696680ce33645aa488e2377cd167221d1398a1515ca3856f7c,7f8e323dd4b3265778ac15b1b68d1177d7a5c96db586a2bdcfd0b80b51a6d707,e4bac5c7595f5e78d3a9b9444e3fdbf03488ba7611de62c0bda48a6c1c63bddc,32b5d7e053aa79824d6d4ca9d91d6e00ff67ad5cdf190b723ffe6275bb0ff275,932a65ff5778430dd3cb15175d2456d5555c46134e1d43baf63202ca6248b24a,
,asset_check,,COMPLETE,asset_diagnosis,0,,False,NOT_RUN,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,eeae78c774ae1358827ec39fc35895002f05312312114e40be3900e6bedb1e65,,
S1,zero_S1_S0-v3_expanded_vocabulary,cil,COMPLETE,pilot,0,,True,expanded,,0.2081545423051836,0.18211716341212744,0.1088,0.03875197303253105,0.03202033036848793,0.015092375748113453,0.12345325766885733,0.10706874689030768,0.06194618787405672,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,,,,083b3b852d86ccb50eb8ad2a151a77c7d283912f6f821bf6294afebb8ed4a67b,ddf4f217e52d1a000d768c8c5fcdd0d45b5f859343e81d2e074e571c04622405,
S1,zero_S1_S0-v3_previous_vocabulary,cil,COMPLETE,pilot,0,,True,previous,,0.20643950944583764,0.17007779772591264,0.0993,NOT_RUN,NOT_RUN,NOT_RUN,0.20643950944583764,0.17007779772591264,0.0993,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,800ba237fb556473ee71f0606e2e02c7b680558f2f4ebc3e0ea3b8656c0d8d51,,,,,931018bc0fe7e4a7170cafbe797797fdd0ff4cabc50938a7b25547fe7a78df0e,7bb5e9d777416ed55247c86ef680744057556f67a56cbbb15cfe680e588a4f2f,
S2,zero_S2_R-QPLSEG-KD-S1_expanded_vocabulary,cil,COMPLETE,pilot,0,,True,expanded,,0.20769780647931102,0.1986219478280216,0.10016795472287277,0.0165577389231088,0.011864406779661017,-0.014808362369337979,0.1439844506272436,0.13636943414523472,0.061842515692135856,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,,,,,571bddb2f16c7f6dbe1b30b454e20cfe039377f0a72f846580be15e8a9be23dd,890084206686d0b7c4df4c154f9909724c10cef94c5a90bf2e9aa277da7e9b44,
S2,zero_S2_R-QPLSEG-KD-S1_previous_vocabulary,cil,COMPLETE,pilot,0,,True,previous,,0.22170747213082298,0.19523707960036815,0.1020948087431694,NOT_RUN,NOT_RUN,NOT_RUN,0.22170747213082298,0.19523707960036815,0.1020948087431694,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,ac3cfa45c3d2efdf0f48cf6c6e1d94e9e2044601cc680cf7e08d790685c1c522,,,,,cf209be252619df5c5b799593dac14a3b099e75c88ed39286a41b5d6c44b9933,2bd42bbeacebe87ba7bf99dacc76041e647ba13a76ca41fd5a6768c1a72b6cee,
